"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T870","2019-09-11 00:00:00","135.000","0.000","0.200","23.900","0.960","998.400","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","21.700",""
"C0A920","2019-09-11 00:00:00","196.000","92.000","3.200","25.700","1.000","989.300","-99.000","0.000","8.800","96.000","","31.800","","25.000",""
"C0A940","2019-09-11 00:00:00","49.000","176.000","2.800","26.900","0.930","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","23.200",""
"C0S740","2019-09-11 00:00:00","289.000","8.000","0.800","24.000","0.970","982.200","-99.000","0.500","-99.000","-99.000","-99.000","30.000","","22.400",""
"C0U980","2019-09-11 00:00:00","573.000","145.000","3.600","23.100","1.000","950.500","-99.000","0.000","-99.000","-99.000","-99.000","28.200","","21.600",""
"C0V250","2019-09-11 00:00:00","298.000","72.000","0.600","22.200","0.990","979.500","-99.000","0.500","-99.000","-99.000","-99.000","29.100","","21.700",""
"C0AH70","2019-09-11 00:00:00","34.000","73.000","1.500","29.400","0.620","1008.000","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","26.400",""
"C0M760","2019-09-11 00:00:00","40.000","166.000","0.900","24.700","0.950","1007.700","-99.000","5.500","-99.000","-99.000","-99.000","31.900","","24.700",""
"C0O950","2019-09-11 00:00:00","4.000","0.000","0.000","25.100","0.940","1010.800","-99.000","37.500","-99.000","-99.000","-99.000","31.600","","24.300",""
"C0F9A0","2019-09-11 00:00:00","425.000","0.000","0.200","24.100","0.970","963.900","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","24.100",""
"C0A9F0","2019-09-11 00:00:00","35.000","93.000","2.100","28.600","0.780","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","26.800",""
"C0I460","2019-09-11 00:00:00","110.000","195.000","2.200","26.300","0.880","999.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.300",""
"C0W160","2019-09-11 00:00:00","49.000","33.000","9.800","28.100","0.860","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","27.300",""
